"date","latitude","longitude"
"2022-08-02","1.2561313814","103.824793851"
"2022-07-31","1.2476092163","103.945383765"
"2022-07-29","1.5088480926","103.9911677083"
"2022-07-10","1.4167778466","103.9191154306"
"2022-07-10","1.499317454","103.9148707806"
"2022-07-01","1.3163500414","103.9025127037"
"2022-07-01","1.2240198169","103.9747442521"
"2022-06-20","1.3647295319","104.1633486677"
"2022-06-19","1.3971308449","103.9125637166"
"2022-06-18","1.3664636621","103.9079227723"
"2022-06-17","1.3504968482","103.9727781663"
"2022-06-16","1.3632486572","103.69896563"
"2022-06-13","1.5347856655","103.9378085781"
"2022-06-05","1.2981964883","104.0743601761"
"2022-06-04","1.2908757128","103.8276706724"
"2022-06-04","1.5977968114","103.940856481"
"2022-06-02","1.4292161299","103.7234774695"
"2022-06-01","1.3418199798","103.8564703252"
"2022-05-30","1.5132074677","103.8121516362"
"2022-05-29","1.5557071419","103.6115853874"
"2022-05-28","1.2004707009","103.9734135976"
"2022-05-28","1.3054627463","103.8025979235"
"2022-05-21","1.2186534492","103.80199508"
"2022-05-16","1.2355935342","103.93290639"
"2022-05-14","1.279079997","103.8367435723"
"2022-05-13","1.3250291234","103.8139549641"
"2022-05-10","1.3049989751","103.8167991772"
"2022-05-09","1.2430824018","103.8752651092"
"2022-05-06","1.2066015606","103.7654672706"
"2022-05-03","1.4016935347","103.8878238739"
"2022-04-30","1.3614588889","103.9034922055"
"2022-04-30","1.3931597179","104.0518996704"
"2022-04-29","1.2893314944","103.6846692129"
"2022-04-26","1.4105640806","103.946943113"
"2022-04-24","1.3931137552","103.8901692654"
"2022-04-24","1.2601063511","103.9304203"
"2022-04-20","1.3434374402","103.9352019595"
"2022-04-18","1.5073159926","103.913150327"
"2022-04-16","1.3625395842","103.8233705014"
"2022-04-12","1.2737685475","103.7877228789"
"2022-04-12","1.4243740236","103.8330556341"
"2022-04-11","1.2999748963","103.9061812652"
"2022-04-06","1.3891251661","103.8525471713"
"2022-04-05","1.2721760616","103.7015584968"
"2022-04-03","1.4565262731","103.9557465667"
"2022-04-02","1.2430403907","103.9322475131"
"2022-04-02","1.3296693574","103.8497762067"
"2022-04-01","1.292521745","103.6456243689"
"2022-04-01","1.3132659401","103.7847429443"
"2022-04-01","1.3058190494","103.6987466047"
"2022-03-30","1.2924394403","103.9863517316"
"2022-03-28","1.2150679007","103.8411580366"
"2022-03-26","1.389930944","103.6044513277"
"2022-03-23","1.29777606","103.7841798561"
"2022-03-20","1.3521597875","103.8231595293"
"2022-03-19","1.3910678907","103.9759058006"
"2022-03-14","1.2817940239","103.7872226495"
"2022-03-12","1.2267528742","103.9402034378"
"2022-03-10","1.2322773441","103.9903896959"
"2022-03-06","1.2145823939","103.8733683174"
"2022-03-06","1.2123447737","103.9779643126"
"2022-03-06","1.3327365584","103.8980847901"
"2022-03-06","1.240084862","103.9728357473"
"2022-03-06","1.3888308721","103.938889054"
"2022-03-06","1.3574662633","103.8152507699"
